,0
Last_Update,2020-01-28 23:00:00
Confirmed,4.0
Last_Update,2020-01-29 19:30:00
Last_Update,2020-01-30 16:00:00
Last_Update,2020-01-31 23:59:00
Last_Update,2020-02-01 18:12:00
Last_Update,2020-02-01 18:12:49
Last_Update,2020-02-04 00:13:06
Last_Update,2020-02-05 17:33:03
Confirmed,5
Last_Update,2020-02-07 05:43:03
Confirmed,7
Last_Update,2020-02-12 18:53:03
Last_Update,2020-02-17 08:03:07
Confirmed,8
Last_Update,2020-02-21 05:23:04
Confirmed,9
Last_Update,2020-02-24 14:43:03
Confirmed,10
Last_Update,2020-02-25 02:23:05
Confirmed,12
Last_Update,2020-02-27 22:43:02
Confirmed,14
Last_Update,2020-02-28 05:23:07
Confirmed,15
Last_Update,2020-02-29 23:23:13
Confirmed,21
Last_Update,2020-03-01 23:33:03
Confirmed,26
Last_Update,2020-03-02 20:53:02
Confirmed,32
Last_Update,2020-03-03 23:53:03
Confirmed,37
Last_Update,2020-03-04 04:23:05
Confirmed,42
Last_Update,2020-03-05 17:53:03
Confirmed,46
Last_Update,2020-03-06 20:53:02
Confirmed,60
Last_Update,2020-03-07 03:53:03
Confirmed,64
Last_Update,2020-03-08 21:33:02
Confirmed,74
Last_Update,2020-03-09 22:43:25
Confirmed,144
Last_Update,2020-03-10 17:13:32
Confirmed,165
Last_Update,2020-03-11 23:13:07
Confirmed,228
Last_Update,2020-03-12 01:53:03
Confirmed,289
Last_Update,2020-03-11 20:00:00
Confirmed,386
Last_Update,2020-03-14 13:13:25
Confirmed,451
Last_Update,2020-03-15 02:13:21
Confirmed,547
Last_Update,2020-03-16 20:13:20
Confirmed,700
Last_Update,2020-03-17 19:33:03
Confirmed,854
Last_Update,2020-03-18 18:33:03
Confirmed,1097
Last_Update,2020-03-19 20:43:03
Confirmed,1349
Last_Update,2020-03-20 21:13:29
Confirmed,1692
Last_Update,2020-03-21 21:13:30
Confirmed,2196
Last_Update,2020-03-22 23:48:00
Confirmed,2652
Last_Update,2020-03-23 23:23:10
Confirmed,3297
Last_Update,2020-03-24 23:41:36
Confirmed,3996
Last_Update,2020-03-25 23:37:36
Confirmed,4569
Last_Update,2020-03-26 23:53:11
Confirmed,5511
Last_Update,2020-03-27 23:27:32
Confirmed,6380
Last_Update,2020-03-28 23:10:00
Confirmed,7310
Last_Update,2020-03-29 23:13:00
Confirmed,8246
Last_Update,2020-03-30 22:58:00
Confirmed,9478
Last_Update,2020-03-31 23:49:13
Confirmed,10711
Last_Update,2020-04-01 22:04:44
Confirmed,12023
