,0
Last_Update,2020-01-28 23:00:00
Deaths,0.0
Last_Update,2020-01-29 19:30:00
Last_Update,2020-01-30 16:00:00
Last_Update,2020-01-31 23:59:00
Last_Update,2020-02-01 18:12:00
Last_Update,2020-02-01 18:12:49
Last_Update,2020-02-04 00:13:06
Last_Update,2020-02-05 17:33:03
Last_Update,2020-02-07 05:43:03
Last_Update,2020-02-12 18:53:03
Last_Update,2020-02-17 08:03:07
Last_Update,2020-02-21 05:23:04
Last_Update,2020-02-24 14:43:03
Last_Update,2020-02-25 02:23:05
Last_Update,2020-02-27 22:43:02
Last_Update,2020-02-28 05:23:07
Last_Update,2020-02-29 23:23:13
Last_Update,2020-03-01 23:33:03
Last_Update,2020-03-02 20:53:02
Last_Update,2020-03-03 23:53:03
Last_Update,2020-03-04 04:23:05
Last_Update,2020-03-05 17:53:03
Last_Update,2020-03-06 20:53:02
Last_Update,2020-03-07 03:53:03
Last_Update,2020-03-08 21:33:02
Last_Update,2020-03-09 22:43:25
Deaths,2
Last_Update,2020-03-10 17:13:32
Last_Update,2020-03-11 23:13:07
Last_Update,2020-03-12 01:53:03
Deaths,3
Last_Update,2020-03-11 20:00:00
Deaths,5
Last_Update,2020-03-14 13:13:25
Last_Update,2020-03-15 02:13:21
Last_Update,2020-03-16 20:13:20
Deaths,9
Last_Update,2020-03-17 19:33:03
Deaths,6
Last_Update,2020-03-18 18:33:03
Deaths,11
Last_Update,2020-03-19 20:43:03
Deaths,12
Last_Update,2020-03-20 21:13:29
Deaths,15
Last_Update,2020-03-21 21:13:30
Deaths,18
Last_Update,2020-03-22 23:48:00
Deaths,22
Last_Update,2020-03-23 23:23:10
Deaths,29
Last_Update,2020-03-24 23:41:36
Deaths,34
Last_Update,2020-03-25 23:37:36
Deaths,47
Last_Update,2020-03-26 23:53:11
Deaths,59
Last_Update,2020-03-27 23:27:32
Deaths,66
Last_Update,2020-03-28 23:10:00
Deaths,83
Last_Update,2020-03-29 23:13:00
Deaths,98
Last_Update,2020-03-30 22:58:00
Deaths,117
Last_Update,2020-03-31 23:49:13
Deaths,152
Last_Update,2020-04-01 22:04:44
Deaths,175
Last_Update,2020-04-02 23:31:00
Deaths,224
Last_Update,2020-04-03 22:52:30
Deaths,277
Last_Update,2020-04-04 23:40:00
Deaths,360
Last_Update,2020-04-05 23:13:28
Deaths,435
Last_Update,2020-04-06 23:28:00
Deaths,503
Last_Update,2020-04-07 23:11:15
Deaths,581
Last_Update,2020-04-08 22:58:44
Deaths,670
Last_Update,2020-04-09 23:09:01
Deaths,773
Last_Update,2020-04-10 23:01:26
Deaths,867
Last_Update,2020-04-11 22:52:28
Deaths,986
Last_Update,2020-04-12 23:24:00
Deaths,1094
Last_Update,2020-04-13 23:15:25
Deaths,1224
Last_Update,2020-04-14 23:40:54
Deaths,1360
Last_Update,2020-04-15 23:04:09
Deaths,1514
Last_Update,2020-04-16 23:38:03
Deaths,1650
Last_Update,2020-04-17 23:38:31
Deaths,1797
Last_Update,2020-04-18 22:40:03
Deaths,1936
Last_Update,2020-04-19 23:48:49
Deaths,2106
Last_Update,2020-04-20 23:44:34
Deaths,2250
Last_Update,2020-04-21 23:38:53
Deaths,2411
Last_Update,2020-04-22 23:38:42
Deaths,2575
Last_Update,2020-04-24 03:31:19
Deaths,2757
Last_Update,2020-04-25 06:30:55
Deaths,2915
Last_Update,2020-04-26 02:30:54
Deaths,3090
Last_Update,2020-04-27 02:30:55
Deaths,3225
Last_Update,2020-04-28 02:30:53
Deaths,3428
Last_Update,2020-04-29 02:32:29
Deaths,3635
Last_Update,2020-04-30 02:32:27
Deaths,3843
Last_Update,2020-05-01 02:32:28
Deaths,4055
Last_Update,2020-05-02 02:32:27
Deaths,4236
Last_Update,2020-05-03 02:32:28
Deaths,4412
Last_Update,2020-05-04 02:32:28
Deaths,4558
Last_Update,2020-05-05 02:32:34
Deaths,4764
Last_Update,2020-05-06 02:32:31
Deaths,4936
Last_Update,2020-05-07 02:32:28
Deaths,5108
Last_Update,2020-05-08 02:32:32
Deaths,5256
Last_Update,2020-05-09 02:32:35
Deaths,5414
Last_Update,2020-05-10 02:32:30
Deaths,5576
Last_Update,2020-05-11 02:32:30
Deaths,5704
Last_Update,2020-05-12 03:32:27
Deaths,5836
Last_Update,2020-05-13 03:32:26
Deaths,5979
Last_Update,2020-05-14 03:32:28
Deaths,6091
Last_Update,2020-05-15 02:33:02
Deaths,6213
Last_Update,2020-05-16 02:32:19
Deaths,6337
Last_Update,2020-05-17 02:32:32
Deaths,6452
Last_Update,2020-05-18 02:32:21
Deaths,6542
Last_Update,2020-05-19 02:32:18
Deaths,6637
Last_Update,2020-05-20 02:32:19
Deaths,6714
Last_Update,2020-05-21 02:32:48
Deaths,6832
Last_Update,2020-05-22 02:36:51
Deaths,6933
Last_Update,2020-05-23 02:32:42
Deaths,7036
Last_Update,2020-05-24 02:32:43
Deaths,7129
Last_Update,2020-05-25 02:32:44
Deaths,7218
Last_Update,2020-05-26 02:32:35
Deaths,7312
Last_Update,2020-05-27 02:32:31
Deaths,7400
Last_Update,2020-05-28 02:32:31
Deaths,7497
Last_Update,2020-05-29 02:32:50
Deaths,7614
Last_Update,2020-05-30 02:32:48
Deaths,7714
Last_Update,2020-05-31 02:32:45
Deaths,7772
Last_Update,2020-06-01 02:32:46
Deaths,7828
Last_Update,2020-06-02 02:33:08
Deaths,7875
Last_Update,2020-06-03 02:33:13
Deaths,7925
Last_Update,2020-06-04 02:33:14
Deaths,7982
Last_Update,2020-06-05 02:33:06
Deaths,8047
Last_Update,2020-06-06 02:33:00
Deaths,8092
Last_Update,2020-06-07 03:53:30
Deaths,8152
Last_Update,2020-06-08 03:33:22
Deaths,8193
Last_Update,2020-06-09 03:33:03
Deaths,8239
Last_Update,2020-06-10 04:07:00
Deaths,8275
Last_Update,2020-06-11 03:33:41
Deaths,8305
Last_Update,2020-06-12 05:09:52
Deaths,8337
Last_Update,2020-06-13 03:33:14
Deaths,8367
Last_Update,2020-06-14 03:33:15
Deaths,8395
Last_Update,2020-06-15 03:33:14
Deaths,8418
Last_Update,2020-06-16 04:33:09
Deaths,8445
Last_Update,2020-06-17 04:33:21
Deaths,8464
Last_Update,2020-06-18 04:33:18
Deaths,8485
Last_Update,2020-06-19 04:33:17
Deaths,8495
Last_Update,2020-06-20 04:33:19
Deaths,8519
Last_Update,2020-06-21 04:33:19
Deaths,8554
Last_Update,2020-06-22 04:33:20
Deaths,8575
Last_Update,2020-06-23 04:33:22
Deaths,8589
Last_Update,2020-06-24 04:33:28
Deaths,8613
Last_Update,2020-06-25 05:26:54
Deaths,8641
Last_Update,2020-06-26 04:33:43
Deaths,8661
Last_Update,2020-06-27 04:33:35
Deaths,8668
Last_Update,2020-06-28 04:34:04
Deaths,8680
Last_Update,2020-06-29 04:33:44
Deaths,8690
Last_Update,2020-06-30 04:33:48
Deaths,8707
Last_Update,2020-07-01 04:33:52
Deaths,8722
Last_Update,2020-07-02 04:33:46
Deaths,8732
Last_Update,2020-07-03 04:33:54
Deaths,8749
Last_Update,2020-07-04 04:33:51
Deaths,8755
Last_Update,2020-07-05 04:33:46
Deaths,8764
Last_Update,2020-07-06 04:33:57
Deaths,8769
Last_Update,2020-07-07 04:34:00
Deaths,8782
Last_Update,2020-07-08 05:33:48
Deaths,8790
Last_Update,2020-07-09 04:34:23
Deaths,8807
Last_Update,2020-07-10 04:34:24
Deaths,8818
Last_Update,2020-07-11 04:34:26
Deaths,8829
Last_Update,2020-07-12 04:34:30
Deaths,8838
Last_Update,2020-07-13 04:43:04
Deaths,8842
Last_Update,2020-07-14 04:34:46
Deaths,8850
Last_Update,2020-07-15 04:34:39
Deaths,8854
Last_Update,2020-07-16 04:44:59
Deaths,8868
Last_Update,2020-07-17 04:34:50
Deaths,8879
Last_Update,2020-07-18 04:34:45
Deaths,8892
Last_Update,2020-07-19 04:34:58
Deaths,8896
Last_Update,2020-07-20 05:34:40
Deaths,8900
Last_Update,2020-07-21 04:38:46
Deaths,8904
Last_Update,2020-07-22 04:34:42
Deaths,8909
Last_Update,2020-07-23 05:15:04
Deaths,8914
Last_Update,2020-07-24 05:30:40
