,0
Last_Update,2020-01-28 23:00:00
Recovered,0.0
Last_Update,2020-01-29 19:30:00
Last_Update,2020-01-30 16:00:00
Last_Update,2020-01-31 23:59:00
Last_Update,2020-02-01 18:12:00
Last_Update,2020-02-01 18:12:49
Last_Update,2020-02-04 00:13:06
Last_Update,2020-02-05 17:33:03
Last_Update,2020-02-07 05:43:03
Last_Update,2020-02-12 18:53:03
Recovered,1
Last_Update,2020-02-17 08:03:07
Last_Update,2020-02-21 05:23:04
Recovered,3
Last_Update,2020-02-24 14:43:03
Last_Update,2020-02-25 02:23:05
Last_Update,2020-02-27 22:43:02
Recovered,6
Last_Update,2020-02-28 05:23:07
Last_Update,2020-02-29 23:23:13
Last_Update,2020-03-01 23:33:03
Last_Update,2020-03-02 20:53:02
Last_Update,2020-03-03 23:53:03
Last_Update,2020-03-04 04:23:05
Last_Update,2020-03-05 17:53:03
Last_Update,2020-03-06 20:53:02
Last_Update,2020-03-07 03:53:03
Recovered,8
Last_Update,2020-03-08 21:33:02
Last_Update,2020-03-09 22:43:25
Last_Update,2020-03-10 17:13:32
Last_Update,2020-03-11 23:13:07
Last_Update,2020-03-12 01:53:03
Last_Update,2020-03-11 20:00:00
Last_Update,2020-03-14 13:13:25
Last_Update,2020-03-15 02:13:21
Last_Update,2020-03-16 20:13:20
Recovered,9
Last_Update,2020-03-17 19:33:03
Last_Update,2020-03-18 18:33:03
Last_Update,2020-03-19 20:43:03
Last_Update,2020-03-20 21:13:29
Last_Update,2020-03-21 21:13:30
Recovered,10
Last_Update,2020-03-22 23:48:00
Last_Update,2020-03-23 23:23:10
Last_Update,2020-03-24 23:41:36
Recovered,110
Last_Update,2020-03-25 23:37:36
Recovered,183
Last_Update,2020-03-26 23:53:11
Recovered,184
Last_Update,2020-03-27 23:27:32
Recovered,256
Last_Update,2020-03-28 23:10:00
Recovered,466
Last_Update,2020-03-29 23:13:00
Last_Update,2020-03-30 22:58:00
Last_Update,2020-03-31 23:49:13
Recovered,1592
Last_Update,2020-04-01 22:04:44
Recovered,1324
Last_Update,2020-04-02 23:31:00
Recovered,1735
Last_Update,2020-04-03 22:52:30
Recovered,2175
Last_Update,2020-04-04 23:40:00
Recovered,2577
Last_Update,2020-04-05 23:13:28
Recovered,3012
Last_Update,2020-04-06 23:28:00
Recovered,3256
Last_Update,2020-04-07 23:11:15
Recovered,3791
Last_Update,2020-04-08 22:58:44
Recovered,4154
Last_Update,2020-04-09 23:09:01
Recovered,5162
Last_Update,2020-04-10 23:01:26
Recovered,5855
Last_Update,2020-04-11 22:52:28
Recovered,6589
Last_Update,2020-04-12 23:24:00
Recovered,7123
Last_Update,2020-04-13 23:15:25
Recovered,7758
Last_Update,2020-04-14 23:40:54
Recovered,8210
Last_Update,2020-04-15 23:04:09
Recovered,8966
Last_Update,2020-04-16 23:38:03
Recovered,9698
Last_Update,2020-04-17 23:38:31
Recovered,10545
Last_Update,2020-04-18 22:40:03
Recovered,10964
Last_Update,2020-04-19 23:48:49
Recovered,11847
Last_Update,2020-04-20 23:44:34
Recovered,12543
Last_Update,2020-04-21 23:38:53
Recovered,13188
Last_Update,2020-04-22 23:38:42
Recovered,14454
Last_Update,2020-04-24 03:31:19
Recovered,14761
Last_Update,2020-04-25 06:30:55
Recovered,15149
Last_Update,2020-04-26 02:30:54
Recovered,16013
Last_Update,2020-04-27 02:30:55
Recovered,16883
Last_Update,2020-04-28 02:30:53
Recovered,18268
Last_Update,2020-04-29 02:32:29
Recovered,19231
Last_Update,2020-04-30 02:32:27
Recovered,20327
Last_Update,2020-05-01 02:32:28
Recovered,21424
Last_Update,2020-05-02 02:32:27
Recovered,22764
Last_Update,2020-05-03 02:32:28
Recovered,23814
Last_Update,2020-05-04 02:32:28
Recovered,24921
Last_Update,2020-05-05 02:32:34
Recovered,26030
Last_Update,2020-05-06 02:32:31
Recovered,27006
Last_Update,2020-05-07 02:32:28
Recovered,28184
Last_Update,2020-05-08 02:32:32
Recovered,29260
Last_Update,2020-05-09 02:32:35
Recovered,30239
Last_Update,2020-05-10 02:32:30
Recovered,31262
Last_Update,2020-05-11 02:32:30
Recovered,32109
Last_Update,2020-05-12 03:32:27
Recovered,33007
Last_Update,2020-05-13 03:32:26
Recovered,34055
Last_Update,2020-05-14 03:32:28
Recovered,35177
Last_Update,2020-05-15 02:33:02
Recovered,36104
Last_Update,2020-05-16 02:32:19
Recovered,36908
Last_Update,2020-05-17 02:32:32
Recovered,37832
Last_Update,2020-05-18 02:32:21
Recovered,38563
Last_Update,2020-05-19 02:32:18
Recovered,39251
Last_Update,2020-05-20 02:32:19
Recovered,40069
Last_Update,2020-05-21 02:32:48
Recovered,40793
Last_Update,2020-05-22 02:36:51
Recovered,41731
Last_Update,2020-05-23 02:32:42
Recovered,42608
Last_Update,2020-05-24 02:32:43
Recovered,43318
Last_Update,2020-05-25 02:32:44
Recovered,43998
Last_Update,2020-05-26 02:32:35
Recovered,44651
Last_Update,2020-05-27 02:32:31
Recovered,45352
Last_Update,2020-05-28 02:32:31
Recovered,46248
Last_Update,2020-05-29 02:32:50
Recovered,46961
Last_Update,2020-05-30 02:32:48
Recovered,47905
Last_Update,2020-05-31 02:32:45
Recovered,48517
Last_Update,2020-06-01 02:32:46
Recovered,49213
Last_Update,2020-06-02 02:33:08
Recovered,50091
Last_Update,2020-06-03 02:33:13
Recovered,50725
Last_Update,2020-06-04 02:33:14
Recovered,51506
Last_Update,2020-06-05 02:33:06
Recovered,52184
Last_Update,2020-06-06 02:33:00
Recovered,53074
Last_Update,2020-06-07 03:53:30
Recovered,54087
Last_Update,2020-06-08 03:33:22
Recovered,54675
Last_Update,2020-06-09 03:33:03
Recovered,55343
Last_Update,2020-06-10 04:07:00
Recovered,56117
Last_Update,2020-06-11 03:33:41
Recovered,57215
Last_Update,2020-06-12 05:09:52
Recovered,58131
Last_Update,2020-06-13 03:33:14
Recovered,59034
Last_Update,2020-06-14 03:33:15
Recovered,59851
Last_Update,2020-06-15 03:33:14
Recovered,60668
Last_Update,2020-06-16 04:33:09
Recovered,61466
Last_Update,2020-06-17 04:33:21
Recovered,61899
Last_Update,2020-06-18 04:33:18
Recovered,63280
Last_Update,2020-06-19 04:33:17
Recovered,63782
Last_Update,2020-06-20 04:33:19
Recovered,64318
Last_Update,2020-06-21 04:33:19
Recovered,64826
Last_Update,2020-06-22 04:33:20
Recovered,65249
Last_Update,2020-06-23 04:33:22
Recovered,65721
Last_Update,2020-06-24 04:33:28
Recovered,66135
Last_Update,2020-06-25 05:26:54
Recovered,66533
Last_Update,2020-06-26 04:33:43
Recovered,66869
Last_Update,2020-06-27 04:33:35
Recovered,67182
Last_Update,2020-06-28 04:34:04
Recovered,67445
Last_Update,2020-06-29 04:33:44
Recovered,67689
Last_Update,2020-06-30 04:33:48
Recovered,68698
Last_Update,2020-07-01 04:33:52
Recovered,69120
Last_Update,2020-07-02 04:33:46
Recovered,69397
Last_Update,2020-07-03 04:33:54
Recovered,69872
Last_Update,2020-07-04 04:33:51
Recovered,70232
Last_Update,2020-07-05 04:33:46
Recovered,70507
Last_Update,2020-07-06 04:33:57
Recovered,70772
Last_Update,2020-07-07 04:34:00
Recovered,71141
Last_Update,2020-07-08 05:33:48
Recovered,71418
Last_Update,2020-07-09 04:34:23
Recovered,71805
Last_Update,2020-07-10 04:34:24
Recovered,72095
Last_Update,2020-07-11 04:34:26
Recovered,72466
Last_Update,2020-07-12 04:34:30
Recovered,72784
Last_Update,2020-07-13 04:43:04
Recovered,72954
Last_Update,2020-07-14 04:34:46
Recovered,73381
Last_Update,2020-07-15 04:34:39
Recovered,73713
Last_Update,2020-07-16 04:44:59
Recovered,74067
Last_Update,2020-07-17 04:34:50
Recovered,74433
Last_Update,2020-07-18 04:34:45
Recovered,98281
Last_Update,2020-07-19 04:34:58
Recovered,98436
Last_Update,2020-07-20 05:34:40
Recovered,98564
Last_Update,2020-07-21 04:38:46
Recovered,98975
Last_Update,2020-07-22 04:34:42
Recovered,99248
Last_Update,2020-07-23 05:15:04
Recovered,99501
Last_Update,2020-07-24 05:30:40
Recovered,99937
Last_Update,2020-07-25 04:47:39
Recovered,100504
Last_Update,2020-07-26 04:35:00
Recovered,100765
Last_Update,2020-07-27 04:35:02
Recovered,100969
Last_Update,2020-07-28 04:58:43
Recovered,101447
Last_Update,2020-07-29 04:35:11
Recovered,101686
Last_Update,2020-07-30 04:35:05
Recovered,101992
Last_Update,2020-07-31 04:35:18
Recovered,102344
Last_Update,2020-08-01 04:36:27
Recovered,102906
Last_Update,2020-08-02 04:34:47
Recovered,103072
Last_Update,2020-08-03 04:34:35
Recovered,103201
Last_Update,2020-08-04 04:41:59
Recovered,103284
Last_Update,2020-08-05 04:34:43
Recovered,104058
Last_Update,2020-08-06 04:35:02
Recovered,104377
Last_Update,2020-08-07 04:35:11
Recovered,104678
Last_Update,2020-08-08 04:34:53
Recovered,105128
Last_Update,2020-08-09 04:34:54
Recovered,105255
Last_Update,2020-08-10 04:34:55
Recovered,105420
Last_Update,2020-08-11 04:35:08
Recovered,108050
Last_Update,2020-08-12 04:27:29
Recovered,108465
Last_Update,2020-08-13 04:29:15
Recovered,108829
Last_Update,2020-08-14 04:51:19
Recovered,109260
Last_Update,2020-08-15 04:27:31
Recovered,109657
Last_Update,2020-08-16 04:27:42
Recovered,109933
Last_Update,2020-08-17 04:27:20
Recovered,110202
Last_Update,2020-08-18 04:27:56
Recovered,110433
Last_Update,2020-08-19 04:27:00
Recovered,111092
Last_Update,2020-08-20 04:27:43
Recovered,111559
Last_Update,2020-08-21 04:27:41
Recovered,111811
Last_Update,2020-08-22 04:27:49
Recovered,112381
Last_Update,2020-08-23 04:27:48
Recovered,112621
Last_Update,2020-08-24 04:27:56
Recovered,112836
Last_Update,2020-08-25 04:28:02
Recovered,113449
Last_Update,2020-08-26 04:28:11
Recovered,113809
Last_Update,2020-08-27 04:28:15
Recovered,114220
Last_Update,2020-08-28 04:28:11
Recovered,114610
Last_Update,2020-08-29 04:28:19
Recovered,115029
Last_Update,2020-08-30 04:28:22
Recovered,115294
Last_Update,2020-08-31 04:28:27
Recovered,115460
Last_Update,2020-09-01 04:28:31
Recovered,116020
Last_Update,2020-09-02 04:28:25
Recovered,116432
Last_Update,2020-09-03 04:28:22
Recovered,116866
Last_Update,2020-09-04 04:28:26
Recovered,117277
Last_Update,2020-09-05 04:28:19
Recovered,117755
Last_Update,2020-09-06 04:28:33
Recovered,117968
Last_Update,2020-09-07 04:28:30
Recovered,118192
Last_Update,2020-09-08 04:28:25
Recovered,118386
Last_Update,2020-09-09 04:28:48
Recovered,119420
Last_Update,2020-09-10 04:29:01
Recovered,119789
Last_Update,2020-09-11 04:46:23
Recovered,120848
Last_Update,2020-09-12 04:25:05
Recovered,121537
Last_Update,2020-09-13 04:30:52
Recovered,121944
Last_Update,2020-09-14 04:26:00
Recovered,122266
Last_Update,2020-09-15 03:22:50
Recovered,123120
Last_Update,2020-09-16 04:22:53
Recovered,123777
Last_Update,2020-09-17 04:22:00
Recovered,124412
Last_Update,2020-09-18 05:05:00
Recovered,124984
Last_Update,2020-09-19 04:22:00
Recovered,125654
Last_Update,2020-09-20 04:22:00
Recovered,125984
Last_Update,2020-09-21 04:23:00
Recovered,126592
Last_Update,2020-09-22 04:23:00
Recovered,127684
Last_Update,2020-09-23 04:23:00
Recovered,128890
Last_Update,2020-09-24 04:23:00
Recovered,129850
Last_Update,2020-09-25 04:23:00
Recovered,130576
Last_Update,2020-09-26 04:23:00
Recovered,131709
Last_Update,2020-09-27 04:23:00
Recovered,132253
Last_Update,2020-09-28 04:23:00
Recovered,133204
Last_Update,2020-09-29 04:23:42
Recovered,134551
Last_Update,2020-09-30 04:23:33
Recovered,135765
Last_Update,2020-10-01 04:23:42
Recovered,137181
Last_Update,2020-10-02 04:23:51
Recovered,138548
Last_Update,2020-10-03 04:23:40
Recovered,139817
Last_Update,2020-10-04 04:23:44
Recovered,140711
Last_Update,2020-10-05 04:23:33
Recovered,142502
Last_Update,2020-10-06 04:23:33
Recovered,144653
Last_Update,2020-10-07 04:23:40
Recovered,146429
Last_Update,2020-10-08 04:23:56
Recovered,147814
Last_Update,2020-10-09 04:23:59
Recovered,149692
Last_Update,2020-10-10 04:23:57
Recovered,152046
Last_Update,2020-10-11 04:23:46
Recovered,153857
Last_Update,2020-10-12 04:23:45
Recovered,155901
Last_Update,2020-10-13 04:24:02
Recovered,156940
Last_Update,2020-10-14 04:24:05
Recovered,160223
Last_Update,2020-10-15 04:24:28
Recovered,162064
Last_Update,2020-10-16 04:24:01
Recovered,164154
Last_Update,2020-10-17 04:24:12
Recovered,166313
Last_Update,2020-10-18 04:24:25
Recovered,166444
Last_Update,2020-10-19 04:24:16
Recovered,169751
Last_Update,2020-10-20 04:24:22
Recovered,172406
Last_Update,2020-10-21 04:24:14
Recovered,174514
Last_Update,2020-10-22 04:24:27
Recovered,171405
Last_Update,2020-10-23 04:24:46
Recovered,173299
Last_Update,2020-10-24 04:24:46
Recovered,180626
Last_Update,2020-10-25 04:24:36
Recovered,181974
Last_Update,2020-10-26 04:25:02
Recovered,184194
Last_Update,2020-10-27 04:24:45
Recovered,187100
Last_Update,2020-10-28 04:24:39
Recovered,189350
Last_Update,2020-10-29 04:24:49
Recovered,191723.0
Last_Update,2020-10-30 04:24:49
Recovered,194105
Last_Update,2020-10-31 04:24:44
Recovered,196935
Last_Update,2020-11-01 04:36:19
Recovered,198952
Last_Update,2020-11-02 05:25:04
Recovered,200768
Last_Update,2020-11-03 06:00:16
Recovered,203128
Last_Update,2020-11-04 05:25:09
Recovered,206691
Last_Update,2020-11-05 06:05:03
Recovered,208815
Last_Update,2020-11-06 05:24:55
Recovered,210429
Last_Update,2020-11-07 05:24:52
Recovered,214441
Last_Update,2020-11-08 05:24:56
Recovered,216338
Last_Update,2020-11-09 05:25:45
Recovered,218279
Last_Update,2020-11-10 05:40:07
Recovered,221758.0
Last_Update,2020-11-11 05:25:30
Recovered,224912.0
Last_Update,2020-11-12 05:25:55
Recovered,226826.0
Last_Update,2020-11-13 05:25:30
Recovered,230429
Last_Update,2020-11-14 05:25:37
Recovered,234404
Last_Update,2020-11-15 05:26:53
Recovered,236870
Last_Update,2020-11-16 05:25:57
Recovered,240434
Last_Update,2020-11-17 05:25:54
Recovered,244699
Last_Update,2020-11-18 05:40:31
Recovered,248859
Last_Update,2020-11-19 05:25:23
Recovered,253089
Last_Update,2020-11-20 05:26:28
Recovered,257310
Last_Update,2020-11-21 05:25:51
Recovered,261754
Last_Update,2020-11-22 05:25:45
Recovered,265568
Last_Update,2020-11-23 05:25:26
Recovered,269137
Last_Update,2020-11-24 05:27:31
Recovered,274315
Last_Update,2020-11-25 05:27:20
Recovered,278191
Last_Update,2020-11-26 05:27:44
Recovered,281883
Last_Update,2020-11-27 05:26:53
Recovered,285672
Last_Update,2020-11-28 05:25:50
Recovered,291221
Last_Update,2020-11-29 05:25:55
Recovered,295475
Last_Update,2020-11-30 05:26:13
Recovered,299095
Last_Update,2020-12-01 05:26:18
Recovered,304595
Last_Update,2020-12-02 05:27:41
Recovered,309557
Last_Update,2020-12-03 05:28:22
Recovered,314529
Last_Update,2020-12-04 05:27:27
Recovered,319250
Last_Update,2020-12-05 05:27:36
Recovered,324802
Last_Update,2020-12-06 05:26:18
Recovered,329676
Last_Update,2020-12-07 05:26:14
Recovered,334375
Last_Update,2020-12-08 05:27:42
Recovered,344034
Last_Update,2020-12-09 05:28:01
Recovered,349629
Last_Update,2020-12-10 05:26:19
Recovered,355401
Last_Update,2020-12-11 05:26:59
Recovered,361020
Last_Update,2020-12-12 05:26:19
Recovered,367837
Last_Update,2020-12-13 05:27:20
Recovered,373898
Last_Update,2020-12-14 05:26:27
Recovered,378653
Last_Update,2020-12-15 05:26:38
Recovered,385021
Last_Update,2020-12-16 05:28:04
Recovered,391435
Last_Update,2020-12-17 05:28:12
Recovered,397217
Last_Update,2020-12-18 05:28:18
Recovered,403667
Last_Update,2020-12-19 05:27:52
Recovered,410988
Last_Update,2020-12-20 05:27:32
Recovered,416901
Last_Update,2020-12-21 05:27:58
Recovered,422175
Last_Update,2020-12-22 05:22:33
Recovered,429372
Last_Update,2020-12-23 05:22:03
Recovered,437458
Last_Update,2020-12-24 05:23:04
Recovered,444166
Last_Update,2020-12-25 05:22:48
Recovered,448119
Last_Update,2020-12-26 05:22:28
Recovered,448829
Last_Update,2020-12-27 05:22:55
Recovered,450669
Last_Update,2020-12-28 05:22:06
Recovered,461134
Last_Update,2020-12-29 05:22:37
Recovered,473200
Last_Update,2020-12-30 05:22:34
Recovered,482944
Last_Update,2020-12-31 05:22:49
Recovered,490229
Last_Update,2021-01-01 05:23:07
Recovered,493638
Last_Update,2021-01-02 05:22:33
Recovered,494437
Last_Update,2021-01-03 05:22:52
Recovered,497492
Last_Update,2021-01-04 05:22:02
Recovered,510595
Last_Update,2021-01-05 05:21:49
Recovered,523448
Last_Update,2021-01-06 05:22:16
Recovered,529580
Last_Update,2021-01-07 05:22:03
Recovered,537024
Last_Update,2021-01-08 05:22:42
Recovered,544047
Last_Update,2021-01-09 05:22:18
Recovered,551983
Last_Update,2021-01-10 05:22:12
Recovered,558594
Last_Update,2021-01-11 05:21:50
Recovered,565049
Last_Update,2021-01-12 05:22:15
Recovered,575152
Last_Update,2021-01-13 05:22:15
Recovered,582822
Last_Update,2021-01-14 05:22:32
Recovered,591131
Last_Update,2021-01-15 05:22:24
Recovered,599753
Last_Update,2021-01-16 05:22:40
Recovered,608322
Last_Update,2021-01-17 05:22:17
Recovered,614692
Last_Update,2021-01-18 05:22:34
Recovered,621857
Last_Update,2021-01-19 05:22:15
Recovered,629547
Last_Update,2021-01-20 05:21:54
Recovered,637132
Last_Update,2021-01-21 05:22:01
Recovered,644967
Last_Update,2021-01-22 05:22:10
Recovered,652246
Last_Update,2021-01-23 05:22:03
Recovered,659185
Last_Update,2021-01-24 05:22:35
Recovered,663552
Last_Update,2021-01-25 05:22:16
Recovered,670938
Last_Update,2021-01-26 05:22:02
Recovered,677636
Last_Update,2021-01-27 05:23:41
Recovered,684817
Last_Update,2021-01-28 05:22:24
Recovered,690369
Last_Update,2021-01-29 05:22:23
Recovered,695578
Last_Update,2021-01-30 05:22:49
Recovered,701306
Last_Update,2021-01-31 05:22:42
Recovered,706285
Last_Update,2021-02-01 05:22:53
Recovered,710699
Last_Update,2021-02-02 05:22:49
Recovered,718049
Last_Update,2021-02-03 05:22:52
Recovered,722002
Last_Update,2021-02-04 05:22:26
Recovered,726258
Last_Update,2021-02-05 05:22:38
Recovered,729768
Last_Update,2021-02-06 05:23:55
Recovered,726095
Last_Update,2021-02-07 05:23:00
Recovered,729371
Last_Update,2021-02-08 05:22:39
Recovered,732688
Last_Update,2021-02-09 05:23:30
Recovered,752390
Last_Update,2021-02-10 05:22:41
Recovered,756588
Last_Update,2021-02-11 05:23:55
Recovered,760476
Last_Update,2021-02-12 05:23:29
Recovered,763979
Last_Update,2021-02-13 05:22:12
Recovered,767170
Last_Update,2021-02-14 05:23:43
Recovered,769007
Last_Update,2021-02-15 05:24:49
Recovered,771956
Last_Update,2021-02-16 05:24:38
Recovered,774703
Last_Update,2021-02-17 05:23:10
Recovered,782150
Last_Update,2021-02-18 05:22:58
Recovered,785508
Last_Update,2021-02-19 05:24:16
Recovered,789108
Last_Update,2021-02-20 05:22:51
Recovered,792455
Last_Update,2021-02-21 05:24:33
Recovered,795451
Last_Update,2021-02-22 05:24:21
Recovered,798129
Last_Update,2021-02-23 05:23:41
Recovered,801678
Last_Update,2021-02-24 05:29:16
Recovered,805428
Last_Update,2021-02-25 05:24:57
Recovered,808449
Last_Update,2021-02-26 05:22:40
Recovered,811551
Last_Update,2021-02-27 05:22:28
Recovered,814559
Last_Update,2021-02-28 05:22:20
Recovered,816972
Last_Update,2021-03-01 05:23:01
Recovered,819420
Last_Update,2021-03-02 05:23:30
Recovered,823249
Last_Update,2021-03-03 05:23:28
Recovered,826172
Last_Update,2021-03-04 05:24:24
Recovered,829287
Last_Update,2021-03-05 05:26:29
Recovered,832084
Last_Update,2021-03-06 04:23:41
Recovered,834868
Last_Update,2021-03-07 05:21:54
Recovered,837730
Last_Update,2021-03-08 05:24:48
Recovered,839824.0
Last_Update,2021-03-09 05:28:19
Recovered,843901.0
Last_Update,2021-03-10 05:24:35
Recovered,846931.0
Last_Update,2021-03-11 05:25:48
Recovered,849784.0
Last_Update,2021-03-12 05:26:50
Recovered,852439.0
Last_Update,2021-03-13 05:25:15
Recovered,855849.0
Last_Update,2021-03-14 05:25:37
Recovered,858330.0
Last_Update,2021-03-15 05:25:51
Recovered,860779.0
Last_Update,2021-03-16 05:25:13
Recovered,864624.0
Last_Update,2021-03-17 05:25:07
Recovered,867542.0
Last_Update,2021-03-18 05:26:22
Recovered,870725.0
Last_Update,2021-03-19 05:26:09
Recovered,873615.0
Last_Update,2021-03-20 05:25:46
Recovered,876936.0
Last_Update,2021-03-21 05:25:44
Recovered,879517.0
Last_Update,2021-03-22 05:25:43
Recovered,882026.0
Last_Update,2021-03-23 05:26:18
Recovered,886109.0
Last_Update,2021-03-24 05:25:40
Recovered,889247.0
Last_Update,2021-03-25 05:27:00
Recovered,892201.0
Last_Update,2021-03-26 05:26:55
Recovered,895645.0
Last_Update,2021-03-27 05:25:04
Recovered,899230.0
Last_Update,2021-03-28 05:28:10
Recovered,902074.0
Last_Update,2021-03-29 04:28:35
Recovered,904909.0
Last_Update,2021-03-30 04:26:23
Recovered,909540.0
Last_Update,2021-03-31 04:26:25
Recovered,912684.0
Last_Update,2021-04-01 04:27:05
Recovered,918581.0
Last_Update,2021-04-02 04:20:36
Recovered,922632.0
Last_Update,2021-04-03 04:20:44
Recovered,924144.0
Last_Update,2021-04-04 04:20:49
Recovered,929085.0
Last_Update,2021-04-05 04:20:35
Recovered,930750.0
Last_Update,2021-04-06 04:20:32
Recovered,937403.0
Last_Update,2021-04-07 04:20:53
Recovered,945550.0
Last_Update,2021-04-08 04:21:13
Recovered,950990.0
Last_Update,2021-04-09 04:21:13
Recovered,956665.0
Last_Update,2021-04-10 04:20:59
Recovered,962451.0
Last_Update,2021-04-11 04:20:56
Recovered,967364.0
Last_Update,2021-04-12 04:21:00
Recovered,972153.0
Last_Update,2021-04-13 04:20:37
Recovered,979856.0
Last_Update,2021-04-14 04:20:41
Recovered,986199.0
Last_Update,2021-04-15 04:20:54
Recovered,992740.0
Last_Update,2021-04-16 04:20:46
Recovered,999374.0
Last_Update,2021-04-17 04:20:40
Recovered,1006819.0
Last_Update,2021-04-18 04:20:41
Recovered,1013533.0
Last_Update,2021-04-19 04:20:57
Recovered,1020054.0
Last_Update,2021-04-20 04:20:41
Recovered,1030214.0
Last_Update,2021-04-21 04:21:14
Recovered,1038181.0
Last_Update,2021-04-22 04:20:53
Recovered,1046969.0
Last_Update,2021-04-23 04:20:52
Recovered,1057653.0
Last_Update,2021-04-24 04:20:38
Recovered,1066739.0
Last_Update,2021-04-25 04:20:32
Recovered,1074073.0
Last_Update,2021-04-26 04:21:04
Recovered,1081040.0
Last_Update,2021-04-27 04:20:52
Recovered,1091032.0
Last_Update,2021-04-28 04:20:32
Recovered,1099133.0
Last_Update,2021-04-29 04:20:55
Recovered,1107448.0
Last_Update,2021-04-30 04:21:03
Recovered,1116894.0
Last_Update,2021-05-01 04:20:47
Recovered,1125237.0
Last_Update,2021-05-02 04:20:48
Recovered,1131494.0
Last_Update,2021-05-03 04:20:39
Recovered,1137041.0
Last_Update,2021-05-04 04:20:34
Recovered,1148593.0
Last_Update,2021-05-05 04:20:43
Recovered,1156625.0
Last_Update,2021-05-06 04:20:38
Recovered,1164426.0
Last_Update,2021-05-07 04:20:40
Recovered,1172437.0
Last_Update,2021-05-08 04:21:04
Recovered,1180131.0
Last_Update,2021-05-09 04:20:35
Recovered,1185870.0
Last_Update,2021-05-10 04:20:38
Recovered,1191480.0
Last_Update,2021-05-11 04:20:41
Recovered,1201850.0
Last_Update,2021-05-12 04:21:29
Recovered,1209322.0
Last_Update,2021-05-13 04:20:51
Recovered,1216611.0
Last_Update,2021-05-14 04:20:41
Recovered,1223096.0
Last_Update,2021-05-15 04:20:58
Recovered,1232005.0
Last_Update,2021-05-16 04:20:49
Recovered,1237776.0
Last_Update,2021-05-17 04:20:34
Recovered,1243121.0
Last_Update,2021-05-18 04:20:33
Recovered,1253009.0
Last_Update,2021-05-19 04:20:42
Recovered,1260105.0
Last_Update,2021-05-20 04:21:05
Recovered,1267075.0
Last_Update,2021-05-21 04:20:43
Recovered,1273440.0
Last_Update,2021-05-22 04:20:45
Recovered,1279849.0
Last_Update,2021-05-23 04:20:51
Recovered,1283944.0
Last_Update,2021-05-24 04:20:53
Recovered,1287785.0
Last_Update,2021-05-25 04:21:08
Recovered,1292891.0
Last_Update,2021-05-26 04:20:35
Recovered,1300280.0
Last_Update,2021-05-27 04:20:59
