Confirmed,Recovered,Deaths,Last_Update
4.0,0.0,0.0,2020-01-28 23:00:00
4.0,0.0,0.0,2020-01-29 19:30:00
4.0,0.0,0.0,2020-01-30 16:00:00
4.0,0.0,0.0,2020-01-31 23:59:00
4.0,0.0,0.0,2020-02-01 18:12:00
4.0,0.0,0.0,2020-02-01 18:12:49
4.0,0.0,0.0,2020-02-01 18:12:49
4.0,0.0,0.0,2020-02-04 00:13:06
5.0,0.0,0.0,2020-02-05 17:33:03
5.0,0.0,0.0,2020-02-05 17:33:03
7.0,0.0,0.0,2020-02-07 05:43:03
7.0,0.0,0.0,2020-02-07 05:43:03
7.0,0.0,0.0,2020-02-07 05:43:03
7.0,0.0,0.0,2020-02-07 05:43:03
7.0,0.0,0.0,2020-02-07 05:43:03
7.0,1.0,0.0,2020-02-12 18:53:03
7.0,1.0,0.0,2020-02-12 18:53:03
7.0,1.0,0.0,2020-02-12 18:53:03
7.0,1.0,0.0,2020-02-12 18:53:03
7.0,1.0,0.0,2020-02-12 18:53:03
8.0,1.0,0.0,2020-02-17 08:03:07
8.0,1.0,0.0,2020-02-17 08:03:07
8.0,1.0,0.0,2020-02-17 08:03:07
8.0,1.0,0.0,2020-02-17 08:03:07
9.0,3.0,0.0,2020-02-21 05:23:04
9.0,3.0,0.0,2020-02-21 05:23:04
9.0,3.0,0.0,2020-02-21 05:23:04
10.0,3.0,0.0,2020-02-24 14:43:03
12.0,3.0,0.0,2020-02-25 02:23:05
12.0,3.0,0.0,2020-02-25 02:23:05
14.0,6.0,0.0,2020-02-27 22:43:02
15.0,6.0,0.0,2020-02-28 05:23:07
21.0,6.0,0.0,2020-02-29 23:23:13
26.0,6.0,0.0,2020-03-01 23:33:03
32.0,6.0,0.0,2020-03-02 20:53:02
37.0,6.0,0.0,2020-03-03 23:53:03
42.0,6.0,0.0,2020-03-04 04:23:05
46.0,6.0,0.0,2020-03-05 17:53:03
60.0,6.0,0.0,2020-03-06 20:53:02
64.0,8.0,0.0,2020-03-07 03:53:03
74.0,8.0,0.0,2020-03-08 21:33:02
144.0,8.0,2.0,2020-03-09 22:43:25
165.0,8.0,2.0,2020-03-10 17:13:32
228.0,8.0,2.0,2020-03-11 23:13:07
289.0,8.0,3.0,2020-03-12 01:53:03
386.0,8.0,5.0,2020-03-11 20:00:00
451.0,8.0,5.0,2020-03-14 13:13:25
547.0,8.0,5.0,2020-03-15 02:13:21
700.0,9.0,9.0,2020-03-16 20:13:20
854.0,9.0,6.0,2020-03-17 19:33:03
1097.0,9.0,11.0,2020-03-18 18:33:03
1349.0,9.0,12.0,2020-03-19 20:43:03
1692.0,9.0,15.0,2020-03-20 21:13:29
2196.0,10.0,18.0,2020-03-21 21:13:30
2652.0,0.0,22.0,2020-03-22 23:48:00
3297.0,0.0,29.0,2020-03-23 23:23:10
3996.0,110.0,34.0,2020-03-24 23:41:36
4569.0,183.0,47.0,2020-03-25 23:37:36
5511.0,184.0,59.0,2020-03-26 23:53:11
6380.0,256.0,66.0,2020-03-27 23:27:32
7310.0,466.0,83.0,2020-03-28 23:10:00
8246.0,466.0,98.0,2020-03-29 23:13:00
9478.0,466.0,117.0,2020-03-30 22:58:00
10711.0,1592.0,152.0,2020-03-31 23:49:13
12023.0,1324.0,175.0,2020-04-01 22:04:44
13742.0,1735.0,224.0,2020-04-02 23:31:00
15074.0,2175.0,277.0,2020-04-03 22:52:30
16410.0,2577.0,360.0,2020-04-04 23:40:00
17599.0,3012.0,435.0,2020-04-05 23:13:28
19100.0,3256.0,503.0,2020-04-06 23:28:00
20488.0,3791.0,581.0,2020-04-07 23:11:15
21724.0,4154.0,670.0,2020-04-08 22:58:44
23104.0,5162.0,773.0,2020-04-09 23:09:01
24248.0,5855.0,867.0,2020-04-10 23:01:26
25624.0,6589.0,986.0,2020-04-11 22:52:28
26966.0,7123.0,1094.0,2020-04-12 23:24:00
28763.0,7758.0,1224.0,2020-04-13 23:15:25
30452.0,8210.0,1360.0,2020-04-14 23:40:54
32199.0,8966.0,1514.0,2020-04-15 23:04:09
33965.0,9698.0,1650.0,2020-04-16 23:38:03
36091.0,10545.0,1797.0,2020-04-17 23:38:31
37617.0,10964.0,1936.0,2020-04-18 22:40:03
